,Barcode1,Barcode2,Barcode3,Barcode4,Barcode5,Barcode6,Barcode7,Barcode8,Barcode9,Barcode10,Barcode11,Barcode12,Barcode13,Barcode14,Barcode15,Barcode16,Barcode17,Barcode18,Barcode19,Barcode20,Barcode21,Barcode22,Barcode23,Barcode24,Barcode25,Barcode26,Barcode27,Barcode28,Barcode29,Barcode30,Barcode31,Barcode32,Barcode33,Barcode34,Barcode35,Barcode36,Barcode37,Barcode38,Barcode39,Barcode40,Barcode41,Barcode42,Barcode43,Barcode44,Barcode45,Barcode46,Barcode47,Barcode48,Barcode49,Barcode50
MOUSE_ACTB,243,410,321,351,534,221,630,220,142,304,305,192,206,253,295,185,204,259,564,201,409,299,259,178,230,228,357,255,275,296,344,159,115,281,244,116,203,287,135,168,225,189,173,1474,245,140,245,467,2205,250
MOUSE_CCL2,4,1853,2,0,25,59,1,24,21,4,16,12,7,2,0,16,27,1,39,2,3,6,4,6,7,1,11,3,0,0,4,99,43,0,0,215,46,26,8,11,0,5,2,8,23,1,21,0,3,6
MOUSE_MALAT1,757,579,543,575,734,426,283,487,422,529,257,393,372,163,424,292,138,556,258,270,342,801,270,303,914,1083,810,906,448,261,739,206,849,390,576,738,342,189,232,916,346,349,705,1054,355,860,317,387,1056,342
MOUSE_S100A6,863,233,562,870,657,773,1069,826,1017,889,982,774,849,388,623,749,745,759,685,269,815,712,1013,808,694,782,736,655,717,975,659,622,772,731,802,756,807,821,794,833,963,335,1085,393,732,365,581,875,249,489
MOUSE_TMSB4X,368,995,300,527,467,306,274,112,298,395,538,296,120,88,354,276,457,313,331,490,424,338,367,289,74,1045,195,353,323,554,257,701,249,225,289,474,256,481,439,212,474,247,197,441,246,124,459,273,285,428
MOUSE_LGALS1,940,530,1094,1056,684,1028,1151,951,1135,857,856,1052,958,1113,1139,854,898,853,726,501,819,897,664,789,1077,953,837,753,810,1020,796,808,965,752,890,715,791,873,955,733,855,686,892,736,899,353,686,799,337,751
MOUSE_FTH1,293,386,351,257,760,291,565,293,561,426,386,375,327,279,262,440,418,366,515,273,284,421,393,491,657,273,454,357,335,340,314,767,449,283,232,609,414,416,511,449,451,387,569,275,346,531,372,380,990,355
MOUSE_ACTA2,69,547,82,27,575,204,31,8,46,58,74,5,5,4,23,71,130,3,80,5,203,3,10,16,11,623,3,14,39,156,0,238,42,56,2,38,71,158,112,33,97,35,3,218,105,7,2,141,166,7
MOUSE_MT-ND1,403,943,451,426,731,447,515,392,588,632,556,660,512,572,553,560,670,528,624,666,358,674,583,545,413,532,491,618,413,495,335,797,595,465,517,622,568,455,429,455,432,697,460,443,539,558,641,329,971,470
MOUSE_MT-CYTB,341,597,315,362,570,340,460,277,453,505,364,473,391,403,313,531,495,479,517,886,340,509,388,489,299,448,238,391,340,393,268,578,436,279,398,415,498,357,336,396,267,486,310,235,427,433,394,292,438,365